genes	CpG	condition	clr	panel
Inpp5a	62.7	Snupe_Sh	1	Sh vs Ct
Inpp5a	67.3	Snupe_Sh	1	Sh vs Ct
Inpp5a	62.1	Snupe_Sh	1	Sh vs Ct
Inpp5a	52.4	Snupe_Sh	1	Sh vs Ct
Inpp5a	62.8	Snupe_Sh	1	Sh vs Ct
Inpp5a	56	Snupe_Sh	1	Sh vs Ct
Inpp5a	60.5	Snupe_Sh	1	Sh vs Ct
Inpp5a	83.1837566	miseq_Y	3	Y vs O
Inpp5a	83.0035646	miseq_Y	3	Y vs O
Inpp5a	84.0327613	miseq_Y	3	Y vs O
Inpp5a	98.910112	miseq_Y	3	Y vs O
Inpp5a	62.9305956	miseq_O	4	Y vs O
Inpp5a	64.5563162	miseq_O	4	Y vs O
Inpp5a	63.9452055	miseq_O	4	Y vs O
Inpp5a	72.605042	miseq_O	4	Y vs O
Prdm16	100	DEEP_Sh	1	Sh vs Ct
Prdm16	100	DEEP_Sh	1	Sh vs Ct
Prdm16	100	DEEP_Ct	2	Sh vs Ct
Prdm16	100	DEEP_Ct	2	Sh vs Ct
Prdm16	100	Snupe_Ct	2	Sh vs Ct
Prdm16	100	Snupe_Ct	2	Sh vs Ct
Prdm16	100	Snupe_Ct	2	Sh vs Ct
Prdm16	100	Snupe_Ct	2	Sh vs Ct
Prdm16	100	Snupe_Ct	2	Sh vs Ct
Prdm16	100	Snupe_Ct	2	Sh vs Ct
Prdm16	100	Snupe_Ct	2	Sh vs Ct
Prdm16	100	Snupe_Ct	2	Sh vs Ct
Prdm16	100	Snupe_Ct	2	Sh vs Ct
Prdm16	100	Snupe_Sh	1	Sh vs Ct
Prdm16	100	Snupe_Sh	1	Sh vs Ct
Prdm16	100	Snupe_Sh	1	Sh vs Ct
Prdm16	100	Snupe_Sh	1	Sh vs Ct
Prdm16	100	Snupe_Sh	1	Sh vs Ct
Prdm16	100	Snupe_Sh	1	Sh vs Ct
Prdm16	100	Snupe_Sh	1	Sh vs Ct
Prdm16	100	Snupe_Sh	1	Sh vs Ct
Prdm16	100	Snupe_Sh	1	Sh vs Ct
Prdm16	100	Snupe_Sh	1	Sh vs Ct
Prdm16	100	Snupe_Sh	1	Sh vs Ct
Prdm16	100	Snupe_Sh	1	Sh vs Ct
Prdm16	100	Snupe_Sh	1	Sh vs Ct
Prdm16	100	Snupe_Sh	1	Sh vs Ct
Prdm16	87.8100999	miseq_Y	4	Y vs O
Prdm16	97.3313295	miseq_Y	4	Y vs O
Prdm16	93.2930037	miseq_Y	4	Y vs O
Prdm16	99.4940738	miseq_Y	4	Y vs O
Prdm16	90.2760134	miseq_O	4	Y vs O
Prdm16	99.1646938	miseq_O	4	Y vs O
Prdm16	93.4950917	miseq_O	4	Y vs O
Prdm16	93.8618572	miseq_O	4	Y vs O
Arhgef19	0.770660471	miseq_DEEP_Ct	2	Sh vs Ct
Arhgef19	0.743923829	miseq_DEEP_Ct	2	Sh vs Ct
Arhgef19	0.9017991	miseq_DEEP_Ct	2	Sh vs Ct
Arhgef19	0.868013836	miseq_DEEP_Ct	2	Sh vs Ct
Arhgef19	0.853108685	miseq_DEEP_Ct	2	Sh vs Ct
Arhgef19	0.800546448	miseq_DEEP_Ct	2	Sh vs Ct
Arhgef19	0.790262172	miseq_DEEP_Ct	2	Sh vs Ct
Arhgef19	0.830048952	miseq_DEEP_Ct	2	Sh vs Ct
Arhgef19	0.805196346	miseq_DEEP_Ct	2	Sh vs Ct
Arhgef19	0.916267142	miseq_DEEP_Sh	1	Sh vs Ct
Arhgef19	0.84121681	miseq_DEEP_Sh	1	Sh vs Ct
Arhgef19	0.825287123	miseq_DEEP_Sh	1	Sh vs Ct
Arhgef19	0.88213381	miseq_DEEP_Sh	1	Sh vs Ct
Arhgef19	0.882176052	miseq_DEEP_Sh	1	Sh vs Ct
Arhgef19	0.864489796	miseq_DEEP_Sh	1	Sh vs Ct
Arhgef19	0.881342062	miseq_DEEP_Sh	1	Sh vs Ct
Arhgef19	0.920832391	miseq_DEEP_Sh	1	Sh vs Ct
Arhgef19	0.095394737	miseq_DEEP_Sh	1	Sh vs Ct
Arhgef19	0.84467493	miseq_DEEP_Sh	1	Sh vs Ct
Arhgef19	0.855880354	miseq_DEEP_Sh	1	Sh vs Ct
Arhgef19	0.826656151	miseq_DEEP_Sh	1	Sh vs Ct
Arhgef19	0.908904391	miseq_DEEP_Sh	1	Sh vs Ct
Arhgef19	0.54	Snupe_DEEP_Ct	2	Sh vs Ct
Arhgef19	0.561	Snupe_DEEP_Ct	2	Sh vs Ct
Arhgef19	0.727	Snupe_DEEP_Ct	2	Sh vs Ct
Arhgef19	0.645	Snupe_DEEP_Ct	2	Sh vs Ct
Arhgef19	0.635	Snupe_DEEP_Ct	2	Sh vs Ct
Arhgef19	0.601	Snupe_DEEP_Ct	2	Sh vs Ct
Arhgef19	0.598	Snupe_DEEP_Ct	2	Sh vs Ct
Arhgef19	0.571	Snupe_DEEP_Ct	2	Sh vs Ct
Arhgef19	0.583	Snupe_DEEP_Ct	2	Sh vs Ct
Arhgef19	0.613	Snupe_DEEP_Ct	2	Sh vs Ct
Arhgef19	0.549	Snupe_DEEP_Sh	1	Sh vs Ct
Arhgef19	0.66	Snupe_DEEP_Sh	1	Sh vs Ct
Arhgef19	0.608	Snupe_DEEP_Sh	1	Sh vs Ct
Arhgef19	0.605	Snupe_DEEP_Sh	1	Sh vs Ct
Arhgef19	0.61	Snupe_DEEP_Sh	1	Sh vs Ct
Arhgef19	0.642	Snupe_DEEP_Sh	1	Sh vs Ct
Arhgef19	0.651	Snupe_DEEP_Sh	1	Sh vs Ct
Arhgef19	0.598	Snupe_DEEP_Sh	1	Sh vs Ct
Arhgef19	0.723	Snupe_DEEP_Sh	1	Sh vs Ct
Arhgef19	0.636	Snupe_DEEP_Sh	1	Sh vs Ct
Arhgef19	0.611	Snupe_DEEP_Sh	1	Sh vs Ct
Arhgef19	0.608	Snupe_DEEP_Sh	1	Sh vs Ct
Arhgef19	0.661	Snupe_DEEP_Sh	1	Sh vs Ct
Arhgef19	0.636	Snupe_Y	3	Y vs O
Arhgef19	0.8	Snupe_Y	3	Y vs O
Arhgef19	0.594	Snupe_Y	3	 Y vs O
Arhgef19	0.579	Snupe_Y	3	 Y vs O
Arhgef19	0.344	Snupe_O	4	 Y vs O
Arhgef19	0.354	Snupe_O	4	Y vs O
Arhgef19	0.309	Snupe_O	4	Y vs O
Arhgef19	0.597	Snupe_O	4	Y vs O
Arhgef19	0.787606542	miseq_Y	3	Y vs O
Arhgef19	0.459180217	miseq_Y	3	Y vs O
Arhgef19	0.771723122	miseq_Y	3	Y vs O
Arhgef19	0.764953357	miseq_Y	3	Y vs O
Arhgef19	0.486517013	miseq_O	4	Y vs O
Arhgef19	0.517201392	miseq_O	4	Y vs O
Arhgef19	0.544554455	miseq_O	4	Y vs O
Arhgef19	0.851572959	miseq_O	4	Y vs O
Tent5a	0.504	Snupe_Y	3	 Y vs O
Tent5a	0.906	Snupe_Y	3	 Y vs O
Tent5a	0.417	Snupe_Y	3	 Y vs O
Tent5a	0.447	Snupe_Y	3	 Y vs O
Tent5a	0.646	Snupe_O	4	 Y vs O
Tent5a	0.71	Snupe_O	4	 Y vs O
Tent5a	0.947	Snupe_O	4	 Y vs O
Tent5a	0.624624625	miseq_O	4	Y vs O
Tent5a	0.646382868	miseq_O	4	Y vs O
Tent5a	0.705263158	miseq_O	4	Y vs O
Tent5a	0.912877867	miseq_O	4	Y vs O
Tent5a	0.366276347	miseq_Y	3	Y vs O
Tent5a	0.996329982	miseq_Y	3	Y vs O
Tent5a	0.319444444	miseq_Y	3	Y vs O
Tent5a	0.353489222	miseq_Y	3	Y vs O
Tent5a	0.608	Snupe_DEEP_Ct	2	Sh vs Ct
Tent5a	0.531	Snupe_DEEP_Ct	2	Sh vs Ct
Tent5a	0.638	Snupe_DEEP_Ct	2	Sh vs Ct
Tent5a	0.579	Snupe_DEEP_Ct	2	Sh vs Ct
Tent5a	0.64	Snupe_DEEP_Ct	2	Sh vs Ct
Tent5a	0.522	Snupe_DEEP_Ct	2	Sh vs Ct
Tent5a	0.543	Snupe_DEEP_Ct	2	Sh vs Ct
Tent5a	0.534	Snupe_DEEP_Ct	2	Sh vs Ct
Tent5a	0.647	Snupe_DEEP_Ct	2	Sh vs Ct
Tent5a	0.596	Snupe_DEEP_Sh	1	Sh vs Ct
Tent5a	0.538	Snupe_DEEP_Sh	1	Sh vs Ct
Tent5a	0.553	Snupe_DEEP_Sh	1	Sh vs Ct
Tent5a	0.534	Snupe_DEEP_Sh	1	Sh vs Ct
Tent5a	0.524	Snupe_DEEP_Sh	1	Sh vs Ct
Tent5a	0.561	Snupe_DEEP_Sh	1	Sh vs Ct
Tent5a	0.605	Snupe_DEEP_Sh	1	Sh vs Ct
Tent5a	0.587	Snupe_DEEP_Sh	1	Sh vs Ct
Tent5a	0.848	Snupe_DEEP_Sh	1	Sh vs Ct
Tent5a	0.563	Snupe_DEEP_Sh	1	Sh vs Ct
Tent5a	0.571	Snupe_DEEP_Sh	1	Sh vs Ct
Tent5a	0.56	Snupe_DEEP_Sh	1	Sh vs Ct
Tent5a	0.493	Snupe_DEEP_Sh	1	Sh vs Ct
Tent5a	0.36845904	miseq_DEEP_Ct	2	Sh vs Ct
Tent5a	0.325569177	miseq_DEEP_Ct	2	Sh vs Ct
Tent5a	0.428979981	miseq_DEEP_Ct	2	Sh vs Ct
Tent5a	0.291960703	miseq_DEEP_Ct	2	Sh vs Ct
Tent5a	0.413773148	miseq_DEEP_Ct	2	Sh vs Ct
Tent5a	0.38372093	miseq_DEEP_Ct	2	Sh vs Ct
Tent5a	0.349293946	miseq_DEEP_Ct	2	Sh vs Ct
Tent5a	0.304297329	miseq_DEEP_Ct	2	Sh vs Ct
Tent5a	0.26164741	miseq_DEEP_Ct	2	Sh vs Ct
Tent5a	0.334500515	miseq_DEEP_Sh	1	Sh vs Ct
Tent5a	0.376193001	miseq_DEEP_Sh	1	Sh vs Ct
Tent5a	0.333643469	miseq_DEEP_Sh	1	Sh vs Ct
Tent5a	0.319428701	miseq_DEEP_Sh	1	Sh vs Ct
Tent5a	0.389367816	miseq_DEEP_Sh	1	Sh vs Ct
Tent5a	0.329509906	miseq_DEEP_Sh	1	Sh vs Ct
Tent5a	0.381293403	miseq_DEEP_Sh	1	Sh vs Ct
Tent5a	0.399775317	miseq_DEEP_Sh	1	Sh vs Ct
Tent5a	0.393694254	miseq_DEEP_Sh	1	Sh vs Ct
Tent5a	0.36804901	miseq_DEEP_Sh	1	Sh vs Ct
Tent5a	0.361581921	miseq_DEEP_Sh	1	Sh vs Ct
Tent5a	0.372296742	miseq_DEEP_Sh	1	Sh vs Ct
Tent5a	0.258940397	miseq_DEEP_Sh	1	Sh vs Ct
Tars	0.967386167	miseq_Y	3	Y vs O
Tars	0.996905274	miseq_Y	3	Y vs O
Tars	0.914126567	miseq_Y	3	Y vs O
Tars	0.923076923	miseq_Y	3	Y vs O
Tars	0.710225893	miseq_O	4	Y vs O
Tars	0.826015065	miseq_O	4	Y vs O
Tars	0.690721649	miseq_O	4	Y vs O
Tars	0.931937173	miseq_O	4	Y vs O
Tars	0.922	Snupe_Y	3	 Y vs O
Tars	0.933	Snupe_Y	3	 Y vs O
Tars	0.894	Snupe_Y	3	 Y vs O
Tars	0.91	Snupe_Y	3	 Y vs O
Tars	0.673	Snupe_O	4	 Y vs O
Tars	0.767	Snupe_O	4	 Y vs O
Tars	0.585	Snupe_O	4	 Y vs O
Tars	0.856	Snupe_DEEP_Ct	2	Sh vs Ct
Tars	0.925	Snupe_DEEP_Ct	2	Sh vs Ct
Tars	0.925	Snupe_DEEP_Ct	2	Sh vs Ct
Tars	0.841	Snupe_DEEP_Ct	2	Sh vs Ct
Tars	0.917	Snupe_DEEP_Ct	2	Sh vs Ct
Tars	0.911	Snupe_DEEP_Ct	2	Sh vs Ct
Tars	0.891	Snupe_DEEP_Ct	2	Sh vs Ct
Tars	0.95	Snupe_DEEP_Ct	2	Sh vs Ct
Tars	0.917	Snupe_DEEP_Ct	2	Sh vs Ct
Tars	0.931	Snupe_DEEP_Sh	1	Sh vs Ct
Tars	0.939	Snupe_DEEP_Sh	1	Sh vs Ct
Tars	0.947	Snupe_DEEP_Sh	1	Sh vs Ct
Tars	0.946	Snupe_DEEP_Sh	1	Sh vs Ct
Tars	0.957	Snupe_DEEP_Sh	1	Sh vs Ct
Tars	0.962	Snupe_DEEP_Sh	1	Sh vs Ct
Tars	0.945	Snupe_DEEP_Sh	1	Sh vs Ct
Tars	0.949	Snupe_DEEP_Sh	1	Sh vs Ct
Tars	0.913	Snupe_DEEP_Sh	1	Sh vs Ct
Tars	0.922	Snupe_DEEP_Sh	1	Sh vs Ct
Tars	0.961	Snupe_DEEP_Sh	1	Sh vs Ct
Tars	0.934	Snupe_DEEP_Sh	1	Sh vs Ct
Tars	0.864895885	miseq_DEEP_Ct	2	Sh vs Ct
Tars	0.955970647	miseq_DEEP_Ct	2	Sh vs Ct
Tars	0.940552699	miseq_DEEP_Ct	2	Sh vs Ct
Tars	0.940821831	miseq_DEEP_Ct	2	Sh vs Ct
Tars	0.815904822	miseq_DEEP_Ct	2	Sh vs Ct
Tars	0.915540541	miseq_DEEP_Ct	2	Sh vs Ct
Tars	0.923838012	miseq_DEEP_Ct	2	Sh vs Ct
Tars	0.962535511	miseq_DEEP_Ct	2	Sh vs Ct
Tars	0.939911576	miseq_DEEP_Ct	2	Sh vs Ct
Tars	0.94343151	miseq_DEEP_Sh	1	Sh vs Ct
Tars	0.935076381	miseq_DEEP_Sh	1	Sh vs Ct
Tars	0.962488394	miseq_DEEP_Sh	1	Sh vs Ct
Tars	0.953530259	miseq_DEEP_Sh	1	Sh vs Ct
Tars	0.964018303	miseq_DEEP_Sh	1	Sh vs Ct
Tars	0.950385658	miseq_DEEP_Sh	1	Sh vs Ct
Tars	0.949291446	miseq_DEEP_Sh	1	Sh vs Ct
Tars	0.958303249	miseq_DEEP_Sh	1	Sh vs Ct
Tars	0.96216068	miseq_DEEP_Sh	1	Sh vs Ct
Tars	0.93287688	miseq_DEEP_Sh	1	Sh vs Ct
Tars	0.917684646	miseq_DEEP_Sh	1	Sh vs Ct
Tars	0.970762977	miseq_DEEP_Sh	1	Sh vs Ct
Tars	0.93679558	miseq_DEEP_Sh	1	Sh vs Ct
Scx	0.488216673	miseq_Y	3	Y vs O
Scx	0.358845339	miseq_Y	3	Y vs O
Scx	0.471589547	miseq_Y	3	Y vs O
Scx	0.386031266	miseq_Y	3	Y vs O
Scx	0.773475745	miseq_O	4	Y vs O
Scx	0.783164877	miseq_O	4	Y vs O
Scx	0.662162162	miseq_O	4	Y vs O
Scx	0.705417872	miseq_O	4	Y vs O
Scx	0.336	Snupe_Y	3	 Y vs O
Scx	0.247	Snupe_Y	3	 Y vs O
Scx	0.347	Snupe_Y	3	 Y vs O
Scx	0.282	Snupe_Y	3	 Y vs O
Scx	0.596	Snupe_O	4	 Y vs O
Scx	0.613	Snupe_O	4	 Y vs O
Scx	0.544	Snupe_O	4	 Y vs O
Scx	0.53	Snupe_O	4	 Y vs O
Scx	0.387	Snupe_DEEP_Ct	2	Sh vs Ct
Scx	0.42	Snupe_DEEP_Ct	2	Sh vs Ct
Scx	0.288	Snupe_DEEP_Ct	2	Sh vs Ct
Scx	0.33	Snupe_DEEP_Ct	2	Sh vs Ct
Scx	0.291	Snupe_DEEP_Ct	2	Sh vs Ct
Scx	0.353	Snupe_DEEP_Ct	2	Sh vs Ct
Scx	0.309	Snupe_DEEP_Ct	2	Sh vs Ct
Scx	0.398	Snupe_DEEP_Ct	2	Sh vs Ct
Scx	0.301	Snupe_DEEP_Ct	2	Sh vs Ct
Scx	0.403	Snupe_DEEP_Ct	2	Sh vs Ct
Scx	0.314	Snupe_DEEP_Sh	1	Sh vs Ct
Scx	0.35	Snupe_DEEP_Sh	1	Sh vs Ct
Scx	0.355	Snupe_DEEP_Sh	1	Sh vs Ct
Scx	0.326	Snupe_DEEP_Sh	1	Sh vs Ct
Scx	0.295	Snupe_DEEP_Sh	1	Sh vs Ct
Scx	0.29	Snupe_DEEP_Sh	1	Sh vs Ct
Scx	0.332	Snupe_DEEP_Sh	1	Sh vs Ct
Scx	0.348	Snupe_DEEP_Sh	1	Sh vs Ct
Scx	0.312	Snupe_DEEP_Sh	1	Sh vs Ct
Scx	0.358	Snupe_DEEP_Sh	1	Sh vs Ct
Scx	0.349	Snupe_DEEP_Sh	1	Sh vs Ct
Scx	0.322	Snupe_DEEP_Sh	1	Sh vs Ct
Scx	0.501567398	miseq_DEEP_Ct	2	Sh vs Ct
Scx	0.496277916	miseq_DEEP_Ct	2	Sh vs Ct
Scx	0.3678487	miseq_DEEP_Ct	2	Sh vs Ct
Scx	0.423106948	miseq_DEEP_Ct	2	Sh vs Ct
Scx	0.380031364	miseq_DEEP_Ct	2	Sh vs Ct
Scx	0.458563536	miseq_DEEP_Ct	2	Sh vs Ct
Scx	0.39863103	miseq_DEEP_Ct	2	Sh vs Ct
Scx	0.382322713	miseq_DEEP_Ct	2	Sh vs Ct
Scx	0.491318328	miseq_DEEP_Ct	2	Sh vs Ct
Scx	0.392344498	miseq_DEEP_Sh	1	Sh vs Ct
Scx	0.450928382	miseq_DEEP_Sh	1	Sh vs Ct
Scx	0.446347607	miseq_DEEP_Sh	1	Sh vs Ct
Scx	0.418375948	miseq_DEEP_Sh	1	Sh vs Ct
Scx	0.381750466	miseq_DEEP_Sh	1	Sh vs Ct
Scx	0.392598245	miseq_DEEP_Sh	1	Sh vs Ct
Scx	0.418414918	miseq_DEEP_Sh	1	Sh vs Ct
Scx	0.415665545	miseq_DEEP_Sh	1	Sh vs Ct
Scx	0.97869102	miseq_DEEP_Sh	1	Sh vs Ct
Scx	0.438035853	miseq_DEEP_Sh	1	Sh vs Ct
Scx	0.445284377	miseq_DEEP_Sh	1	Sh vs Ct
Scx	0.448416752	miseq_DEEP_Sh	1	Sh vs Ct
Scx	0.427120141	miseq_DEEP_Sh	1	Sh vs Ct
